the,这
bid,出价
quest,寻求
sacrifice,牺牲
invitation,请帖
accuracy,准确性
juror,陪审员
officially,正式
broker,经纪人
treasure,宝藏
loyalty,忠诚
credit,信用
shock,震惊
talented,天才
gasoline,汽油
stiff,僵硬的
output,输出
nominee,被提名人
extended,扩展
please,请
diabetes,糖尿病
slap,拍击
toxic,有毒的
alleged,据称
jaw,颚
grief,哀思
mysterious,神秘
rocket,火箭
donate,捐
inmate,犯人
tackle,处理
dynamics,动力学
bow,弓
ours,我们的
senior,高级的
dignity,尊严
carpet,地毯
parental,父母
bubble,气泡
heat,热
buddy,伙伴
barn,谷仓
sword,剑
flash,闪光
seventh,第七
glory,荣耀
tightly,紧紧
protective,保护的
tuck,掖
drum,鼓
faint,头晕的
post,邮政
queen,女王
dilemma,困境
input,输入
specialize,专攻
northeast,东北
shallow,浅
liability,责任
sail,帆
merchant,商人
stadium,体育场
improved,改善
bloody,血腥
defeat,打败
associated,联系
withdrawal,退出
refrigerator,冰箱
nest,巢
near,靠近
thoroughly,透
lane,车道
ancestor,祖先
condemn,谴责
steam,蒸汽
accent,口音
escape,逃脱
optimistic,乐观的
unite,团结
cage,笼
equip,装备
shrimp,虾
homeland,家园
exchange,交换
rack,架子
costume,戏服
wolf,狼
courtroom,法庭
statute,法令
cartoon,卡通片
besides,除了
productivity,生产率
grin,微笑
symbolic,象征
seal,海豹
bug,漏洞
bless,保佑
aunt,姨妈
agriculture,农业
rock,岩石
hostile,敌对
root,根
conceive,构想
combined,结合
instantly,即刻
bankruptcy,破产
vaccine,疫苗
bonus,奖金
collaboration,合作
mixed,杂
opposed,反对
orbit,轨道
grasp,抓牢
patience,耐心
spite,尽管
tropical,热带
voting,表决
patrol,巡逻
willingness,愿意
position,位置
revelation,启示
rent,租
calm,冷静的
jewelry,珠宝
Cuban,古巴
haul,运输
concede,承认
trace,痕迹
wagon,车皮
afterward,之后
spectacular,壮观
ruin,废墟
sheer,绝对
prior,事先的
immune,免疫的
reliability,可靠性
ass,屁股
alongside,并肩
bush,衬套
exotic,异国情调
fascinating,迷人
secure,安全的
clip,夹子
thigh,大腿
bull,公牛
drawer,抽屉
regard,看待
sheep,羊
discourage,不鼓励
coordinator,协调
ideological,思想
runner,跑步者
secular,世俗
intimate,亲密的
empire,帝国
cab,出租车
divorce,离婚
exam,考试
documentary,记录
neutral,中性的
biology,生物学
flexible,灵活的
progressive,进步
web,卷筒纸
conspiracy,阴谋
catch,抓住
casualty,受害者
republic,共和国
execution,执行
terrific,了不起
whale,鲸
functional,实用
star,星星
draft,草案
instinct,直觉
teammate,队友
aluminum,铝
whoever,谁
ministry,部
verdict,判决书
instruct,指导
skull,颅骨
self-esteem,自尊
ease,舒适
cooperative,合作社
manipulate,操纵
bee,蜜蜂
practitioner,从业者
loop,环形
edit,编辑
whip,鞭子
puzzle,谜
mushroom,蘑菇
subsidy,补贴
boil,熬
tragic,悲惨
mathematics,数学
mechanic,机械
jar,罐
respect,尊重
earthquake,地震
pork,猪肉
creativity,创造力
safely,安然
underlying,潜在的
dessert,点心
sympathy,同情
fisherman,渔
incredibly,令人难以置信
isolation,隔离
sock,短袜
near,靠近
jump,跳
eleven,十一
sexy,性感的
entrepreneur,企业家
syndrome,综合征
bureau,局
seat,座位
workplace,职场
ambition,志向
touchdown,接地
utilize,利用
breeze,微风
costly,昂贵
ambitious,有雄心
Christianity,基督教
presumably,想必
influential,有影响
translation,翻译
uncertain,不确定
dissolve,溶解
object,目的
statistical,统计
gut,肠道
metropolitan,宗主
rolling,压延
aesthetic,审美的
spell,拼写
insert,插入
booth,亭
helmet,头盔
waist,腰部
expected,预期的
lion,狮子
accomplishment,成就
royal,王室的
panic,恐慌
cast,投掷
crush,压碎
actively,积极地
cliff,悬崖
minimal,最小
cord,绳索
fortunately,幸运的是
cocaine,可卡因
illusion,错觉
anonymous,匿名的
tolerate,容忍
appreciation,欣赏
commissioner,专员
harm,伤害
flexibility,灵活性
instructional,教学
scramble,争夺
casino,赌场
tumor,瘤
decorate,装饰
sort,种类
charge,收费
pulse,脉冲
equivalent,相等的
fixed,固定的
experienced,有经验的
donation,捐款
diary,日记
sibling,兄弟
irony,讽刺
spoon,勺子
midst,中间
alley,胡同
upset,沮丧的
interact,相互影响
soap,肥皂
cute,可爱的
rival,竞争对手
short-term,短期
punch,冲床
pin,别针
hockey,曲棍球
passing,通过
persist,坚持
supplier,供应商
known,知
momentum,势头
purse,钱包
shed,棚
liquid,液体
icon,图标
elephant,大象
consequently,最后
legislature,立法机关
associate,联系
franchise,专营权
correctly,正确地
mentally,精神上
foster,促进
bicycle,自行车
encouraging,鼓励
cheat,欺骗
access,使用权
heal,愈合
fever,发烧
filter,筛选
rabbit,兔子
coin,硬币
exploit,开发
accessible,无障碍
organism,生物
sensation,感觉
partially,部分
stay,停留
upstairs,楼上
dried,干
minimum,最低限度
pro,亲
conservation,保护
shove,推
backyard,后院
charter,宪章
stove,火炉
consent,同意
comprise,包括
reminder,提醒
alike,一样
placement,放置
dough,面团
grandchild,孙子
dam,坝
reportedly,据说
well-known,知名
surrounding,周围
ecological,生态
outfit,全套服装
unprecedented,空前的
columnist,专栏作家
workout,锻炼
preliminary,初步的
patent,专利
shy,害羞的
quote,引用
trash,垃圾
disabled,残
gross,总的
damn,该死
hormone,激素
texture,质地
counter,柜台
pencil,铅笔
associate,联系
frontier,边境
spray,喷
bet,赌注
disclose,透露
custody,保管
banker,银行家
beast,兽
interfere,干扰
oak,橡木
case,案件
eighth,第八
notebook,笔记本
outline,大纲
gaze,凝视
attendance,勤
speculation,推测
uncover,揭露
behalf,代表
innovative,创新的
shark,鲨鱼
reward,报酬
mill,磨
installation,安装
stimulate,刺激
tag,标签
vertical,垂直的
swimming,游泳
fleet,舰队
catalog,目录
outsider,局外人
sacrifice,牺牲
desperately,拼命
stance,姿态
compel,迫使
sensitivity,灵敏度
someday,日后
instant,立即的
debut,登场
proclaim,宣布
worldwide,全世界
hike,远足
required,必需的
confrontation,对抗
colorful,丰富多彩的
ideal,理想的
constitution,宪法
trainer,训练者
Thanksgiving,感恩
scent,香味
stack,堆
eyebrow,眉
sack,解雇
cease,停止
inherit,继承
tray,托盘
pioneer,先锋
organizational,组织
textbook,教科书
uh,呃
nasty,可恶的
shrink,收缩
model,模型
emerging,新兴
dot,点
wheat,小麦
fierce,凶猛的
envision,预见
rational,合理的
kingdom,王国
aisle,走道
weaken,削弱
protocol,协议
exclusively,只
vocal,声音的
marketplace,市井
openly,公然
unfair,不公平
terrain,地形
deploy,部署
risky,有风险
pasta,意大利面条
genre,类型
distract,转移
merit,优点
planner,规划人员
depressed,郁闷
chunk,块
closest,最近的
discount,折扣
no,不
ladder,梯子
jungle,丛林
migration,移民
breathing,呼吸
invade,入侵
hurricane,飓风
retailer,零售商
classify,分类
wound,伤口
coup,政变
aid,援助
ambassador,大使
density,密度
supportive,支持
curiosity,好奇心
skip,跳过
aggression,侵略
stimulus,刺激物
journalism,新闻学
robot,机器人
flood,洪水
dip,蘸
likewise,同样地
informal,非正式的
Persian,波斯语
feather,羽毛
sphere,领域
tighten,紧缩
boast,夸
pat,拍
perceived,感知
sole,唯一
publicity,公开
major,重大的
unfold,展开
joke,玩笑
well-being,福利
validity,有效性
ecosystem,生态系统
strictly,严格
partial,部分的
collar,衣领
weed,野草
compliance,遵守
streak,条纹
supposedly,按说
added,添加
builder,建设者
glimpse,一瞥
premise,前提
specialty,专业
deem,认为
artifact,神器
sneak,潜行
monkey,猴
mentor,导师
two-thirds,三分之二
listener,倾听者
lightning,闪电
legally,法律上
sleeve,袖子
disappointment,失望
disturb,打扰
rib,肋骨
excessive,过多的
high-tech,高科技
debris,废墟
pile,桩
rod,杆
logical,合乎逻辑
liberal,自由主义的
ash,灰
socially,社交上
parish,教区
slavery,奴隶制度
blank,空白的
commodity,商品
cure,治愈
mineral,矿物
hunger,饥饿
dying,垂死
developmental,发展的
faster,快点
spare,空闲的
halfway,半
cure,治愈
equality,平等
cemetery,公墓
harassment,骚扰
deliberately,故意地
fame,名誉
regret,后悔
striking,引人注目
likelihood,可能性
carrot,萝卜
atop,在顶上
toll,收费
rim,轮缘
embarrassed,尴尬的
fucking,他妈的
cling,依偎
isolated,隔离的
blink,眨
suspicious,可疑的
wheelchair,轮椅
squad,队
eligible,有资格的
processor,处理器
plunge,跳水
this,这个
sponsor,赞助
grin,微笑
color,颜色
demographic,人口
rain,雨
chill,寒意
refuge,避难所
steer,转向
legislator,立法者
rally,团结
programming,程序设计
cheer,欢呼
outlet,出口
intact,完整
vendor,小贩
thrive,蓬勃发展
peanut,花生
chew,嚼
elaborate,精心制作的
intellectual,知识分子
conception,概念
auction,拍卖
steak,牛扒
comply,遵守
triumph,胜利
shareholder,股东
comparable,可比
transport,运输
conscience,良心
calculation,计算
considerably,相当
interval,间隔
scratch,划痕
awake,苏醒
jurisdiction,管辖权
inevitably,必将
feminist,女权主义者
constraint,约束
emotionally,感情上
expedition,远征
allegedly,据称
compromise,妥协
strain,拉紧
similarity,相似
butt,屁股
lid,盖
dumb,哑的
bulk,大部分
sprinkle,撒
mortality,死亡
philosophical,哲学上
conversion,转换
patron,顾客
municipal,市政
any,任何
liver,肝脏
harmony,和谐
solely,独自
tolerance,宽容
instant,立即的
goat,山羊
arm,手臂
blessing,祝福
banana,香蕉
running,跑步
palace,宫
formerly,以前
peasant,农
neat,整洁的
grandparent,祖父母
lawmaker,国会议员
supermarket,超级市场
cruise,巡航
mobile,移动的
plain,清楚的
part,部分
calendar,日历
widow,寡妇
deposit,订金
beard,胡须
brake,制动
downtown,市中心
screening,筛选
impulse,冲动
forbid,禁止
fur,毛皮
brutal,野蛮
predator,捕食者
poke,戳
opt,选择
voluntary,自主性
trouble,麻烦
valid,有效的
forum,论坛
dancing,跳舞
happily,高高兴兴
soar,翱翔
removal,移动
autonomy,自治
enact,颁布
round,圆形的
thread,线
light,光
landmark,里程碑
unhappy,不快乐
offender,犯罪分子
coming,未来
privately,私自
fraction,分数
distinctive,独特
tourism,旅游
threshold,临界点
calm,冷静的
routinely,常规
suite,套房
remark,评论
regulator,调节器
straw,稻草
theological,神学
apart,距离
exhaust,排气
globe,地球
fragile,脆弱的
objection,异议
chemistry,化学
old-fashioned,过时
crowded,挤
circle,圆圈
blast,爆破
prevail,战胜
overnight,过夜
denial,否认
rental,出租
fantastic,极好的
fragment,分段
level,等级
screw,拧紧
warmth,热情
undergraduate,大学本科
liquid,液体
headache,头痛
policeman,警察
yield,屈服
projection,投影
battle,战斗
suitable,合适的
mention,提到
graduation,毕业
drill,钻头
cruel,残忍的
mansion,大厦
regard,看待
grape,葡萄
authorize,授权
cottage,茅屋
driveway,车道
charm,魅力
sexuality,性欲
loyal,忠诚
clay,黏土
pound,磅
balloon,气球
invention,发明
ego,自我
fare,票价
homework,在家工作
disc,圆盘
sofa,沙发
guarantee,保证
availability,可用性
radar,雷达
frown,皱眉
regain,恢复
leave,离开
permit,允许
sweater,毛衣
rehabilitation,复原
rubber,橡胶
retreat,撤退
molecule,分子
freely,自如
favorable,有利
steadily,稳步
veteran,老将
integrated,融合的
ha,哈
youngster,青少年
broadcast,播送
premium,优质的
accountability,问责
overwhelm,压倒
one-third,三分之一
contemplate,沉思
update,更新
spark,火花
ironically,讽刺地
fatigue,疲劳
beyond,超过
speculate,推测
marker,标记
low,低的
preach,传道
bucket,桶
bomb,炸弹
blond,金发
confession,自白书
provoke,惹
marble,大理石
substantially,基本上
twist,捻
defender,辩护人
fish,鱼
explicit,明确的
transport,运输
disturbing,令人不安
surveillance,监视
magnetic,磁的
technician,技术员
mutter,咕哝
devastating,毁灭性的
depart,离开
arrow,箭
trauma,创伤
neighboring,邻接
soak,浸泡
ribbon,丝带
meantime,与此同时
transmit,发送
screen,屏幕
harvest,收成
consecutive,连续的
republican,共和党人
coordinate,协调
worldwide,全世界
within,之内
spy,间谍
slot,投币口
riot,暴动
nutrient,养分
citizenship,国籍
severely,严重
sovereignty,主权
ridge,岭
brave,勇敢的
lighting,灯光
specify,指定
contributor,贡献者
frustrate,阻挠
crowd,人群
articulate,口齿
importantly,重要的
transit,过境
dense,稠密
seminar,研讨会
electronics,电子产品
sunny,晴朗
shorts,短裤
swell,胀
accusation,指控
soften,软化
photograph,照片
straighten,拉直
terribly,可怕
cue,球杆
sudden,突然
bride,新娘
biography,传
hazard,冒险
compelling,引人注目
seldom,很少
tile,瓦
economically,经济
honestly,诚实地
troubled,困扰
bow,弓
twentieth,第二十
balanced,均衡
foreigner,外国人
launch,发射
convenience,方便
delight,喜
weave,编织
timber,木材
till,直到
accurately,准确
plea,恳求
bulb,电灯泡
copy,复制
flying,飞行
sustainable,可持续的
devil,魔鬼
bolt,螺栓
cargo,货物
spine,脊柱
seller,卖方
skilled,技能的
managing,管理的
public,民众
marine,海洋
dock,码头
organized,有组织的
fog,多雾路段
diplomat,外交官
boring,无聊的
sometime,某时
summary,概括
missionary,传教士
epidemic,流行病
fatal,致命的
trim,修剪
warehouse,仓库
accelerate,加速
butterfly,蝴蝶
bronze,青铜
drown,淹
inherent,固有
praise,称赞
nationwide,全国
spit,吐
harvest,收成
kneel,下跪
vacuum,真空
selected,选
dictate,听写
stereotype,铅板
sensor,传感器
laundry,洗衣店
manual,手动的
